               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.079235,             0.09478,          3.0769e-08,             0.70843,             0.65871,             0.67916,             0.26588,            0.076386,             0.11337,          3.0814e-08,           0.0082015,           0.0082015,           0.0082015
                 111,            0.078631,            0.095543,          3.0877e-08,             0.70965,             0.64887,             0.68913,             0.25149,            0.076779,             0.11308,            3.11e-08,            0.008185,            0.008185,            0.008185
                 112,            0.080985,            0.097011,          3.0732e-08,             0.70128,             0.64071,             0.67555,             0.25311,            0.077412,             0.11324,          3.1023e-08,           0.0081685,           0.0081685,           0.0081685
                 113,            0.078606,            0.091611,           3.065e-08,             0.72065,             0.65583,             0.68546,             0.25838,            0.075888,             0.10847,          3.1108e-08,            0.008152,            0.008152,            0.008152
                 114,            0.075433,            0.095767,          3.0886e-08,             0.73696,             0.64822,             0.69575,             0.26405,            0.075109,              0.1112,          3.0968e-08,           0.0081355,           0.0081355,           0.0081355
                 115,              0.0781,            0.094866,          3.0648e-08,             0.73015,             0.63709,             0.68912,             0.25668,            0.075183,             0.11164,          3.0598e-08,            0.008119,            0.008119,            0.008119
                 116,             0.07749,            0.088312,          3.0514e-08,             0.73248,             0.64634,             0.69558,             0.26355,            0.073786,             0.10942,          3.0744e-08,           0.0081025,           0.0081025,           0.0081025
                 117,            0.079099,            0.087864,          3.0716e-08,             0.73553,             0.62616,             0.68452,             0.26754,            0.076742,             0.11719,          3.1085e-08,            0.008086,            0.008086,            0.008086
                 118,            0.075731,            0.084024,          3.0632e-08,             0.75767,             0.67355,             0.71316,             0.26586,            0.075703,             0.10937,          3.0618e-08,           0.0080695,           0.0080695,           0.0080695
                 119,            0.078123,            0.089229,          3.0521e-08,             0.73969,             0.63974,              0.6952,             0.25225,            0.076102,             0.11468,          3.0843e-08,            0.008053,            0.008053,            0.008053
                 120,            0.076445,            0.086642,          3.0473e-08,             0.72459,             0.66417,             0.69312,             0.26548,            0.075181,             0.11041,          3.0924e-08,           0.0080365,           0.0080365,           0.0080365
                 121,            0.078861,            0.089514,          3.0698e-08,             0.72404,              0.6454,             0.68253,             0.26294,            0.075655,             0.11165,          3.0932e-08,             0.00802,             0.00802,             0.00802
                 122,            0.077659,            0.087261,           3.076e-08,             0.71194,             0.64634,             0.67001,             0.25808,            0.075866,             0.11227,           3.104e-08,           0.0080035,           0.0080035,           0.0080035
                 123,             0.07764,            0.085669,          3.0983e-08,             0.72736,             0.65068,             0.67396,             0.25289,            0.077246,             0.11495,          3.1215e-08,            0.007987,            0.007987,            0.007987
                 124,            0.079122,             0.10172,          3.1022e-08,             0.72948,             0.67795,             0.69155,             0.26583,            0.075763,             0.11386,          3.1217e-08,           0.0079705,           0.0079705,           0.0079705
                 125,            0.080576,            0.092511,          3.0771e-08,              0.7417,             0.63508,             0.67208,             0.25284,            0.076404,             0.11392,          3.0752e-08,            0.007954,            0.007954,            0.007954
                 126,            0.077873,            0.092549,          3.0318e-08,             0.71601,             0.64916,             0.67533,             0.26085,             0.07617,             0.11429,          3.0981e-08,           0.0079375,           0.0079375,           0.0079375
                 127,            0.075286,            0.090136,          3.0831e-08,             0.75366,             0.65149,             0.70716,             0.27635,            0.075701,             0.11541,          3.1366e-08,            0.007921,            0.007921,            0.007921
                 128,            0.074976,            0.081886,          3.0686e-08,             0.74296,             0.63449,             0.69054,             0.27029,             0.07722,             0.11918,          3.1298e-08,           0.0079045,           0.0079045,           0.0079045
                 129,            0.075493,            0.081262,          3.0912e-08,             0.70814,             0.67073,             0.68961,             0.26495,            0.075276,             0.11285,           3.106e-08,            0.007888,            0.007888,            0.007888
                 130,            0.076211,            0.092334,           3.087e-08,              0.6932,             0.65291,             0.67961,             0.26722,            0.075018,             0.11229,          3.0916e-08,           0.0078715,           0.0078715,           0.0078715
                 131,            0.076739,            0.087755,          3.0778e-08,             0.73343,             0.63508,             0.67446,             0.25944,            0.074922,             0.11598,          3.1043e-08,            0.007855,            0.007855,            0.007855
                 132,            0.074573,            0.082151,          3.0685e-08,             0.72229,             0.65103,              0.6779,             0.25523,            0.075994,              0.1134,          3.1035e-08,           0.0078385,           0.0078385,           0.0078385
                 133,            0.073769,            0.085363,          3.0665e-08,             0.71553,             0.66979,              0.6858,             0.25907,            0.075835,             0.11315,          3.0934e-08,            0.007822,            0.007822,            0.007822
                 134,            0.076623,            0.085822,           3.074e-08,             0.71352,             0.67636,             0.69795,             0.26445,            0.075804,             0.11547,          3.1182e-08,           0.0078055,           0.0078055,           0.0078055
                 135,             0.07688,            0.086012,          3.0727e-08,             0.71666,              0.6651,             0.66716,             0.26009,            0.075795,             0.11357,          3.1158e-08,            0.007789,            0.007789,            0.007789
                 136,            0.078742,            0.086522,           3.075e-08,             0.72098,             0.64259,             0.66326,              0.2523,            0.077399,             0.11505,          3.1047e-08,           0.0077725,           0.0077725,           0.0077725
                 137,            0.077481,            0.094901,          3.0557e-08,              0.7429,             0.64822,             0.67459,             0.25191,            0.078235,             0.11543,          3.1115e-08,            0.007756,            0.007756,            0.007756
                 138,            0.078075,            0.094843,          3.0596e-08,             0.73133,             0.64353,             0.67782,             0.26114,            0.077084,             0.11648,           3.104e-08,           0.0077395,           0.0077395,           0.0077395
                 139,            0.075521,            0.085265,           3.078e-08,              0.7599,             0.64259,             0.68049,             0.25949,            0.078031,             0.11385,          3.1279e-08,            0.007723,            0.007723,            0.007723
                 140,            0.078168,            0.092307,          3.0729e-08,             0.73695,             0.64447,             0.65973,             0.26199,            0.078551,             0.11335,          3.1157e-08,           0.0077065,           0.0077065,           0.0077065
                 141,             0.07513,            0.080352,          3.0886e-08,             0.75552,             0.64647,             0.67905,             0.25409,            0.077845,             0.11297,          3.1445e-08,             0.00769,             0.00769,             0.00769
                 142,             0.07551,            0.079846,          3.0704e-08,             0.72976,              0.6651,             0.68766,              0.2695,            0.075312,             0.11177,          3.1008e-08,           0.0076735,           0.0076735,           0.0076735
                 143,             0.07545,            0.088909,          3.0648e-08,             0.73418,             0.65811,             0.68272,             0.27042,            0.077427,             0.11126,          3.1107e-08,            0.007657,            0.007657,            0.007657
                 144,            0.075554,            0.082757,          3.0699e-08,             0.75837,             0.64478,              0.6942,             0.26599,            0.076817,             0.11972,          3.1375e-08,           0.0076405,           0.0076405,           0.0076405
                 145,            0.077447,            0.085084,          3.0784e-08,             0.74256,             0.63039,             0.67858,             0.26603,            0.076755,             0.11609,          3.1335e-08,            0.007624,            0.007624,            0.007624
                 146,            0.076004,            0.083276,          3.0208e-08,             0.72447,             0.63883,              0.6625,             0.26397,            0.076276,             0.11303,          3.0893e-08,           0.0076075,           0.0076075,           0.0076075
                 147,            0.077513,            0.086998,          3.0713e-08,             0.75493,             0.63284,             0.66885,             0.25756,            0.076938,             0.11365,           3.111e-08,            0.007591,            0.007591,            0.007591
                 148,            0.077006,            0.092932,          3.0746e-08,             0.72064,             0.63884,             0.67541,             0.26442,            0.077148,             0.11542,          3.1059e-08,           0.0075745,           0.0075745,           0.0075745
